,ID,Street,Number,Address,Latitude,Longitude,LocationID,Description,Category,ServiceTime,Profit
0,PE-FWI-5-5985,Fabrikstraße,3,"Fabrikstraße 3, Dresden",51.0442492,13.7104997,0,Depot,5,0,0
1,PE-FWI-3-5292,Bulgakowstraße,20,"Bulgakowstraße, 20, Dresden",51.0209137,13.7366383,1,Entlüftung,3,780,1
2,PE-FWI-3-4048,Fritz-Busch-Straße,8,"Fritz-Busch-Straße, 8, Dresden",51.0133993,13.773792,2,Entlüftung,3,840,1
3,PE-FWI-2-7618,Julie-Salinger-Weg,5,"Julie-Salinger-Weg, 5, Dresden",51.0638678,13.7539745073,3,Zuluftschacht,2,1020,2
4,PE-FWI-3-2483,Löscherstraße,26,"Löscherstraße, 26, Dresden",51.0480874,13.7798141,4,Abzweigung,3,840,1
5,PE-FWI-2-7312,Pöppelmannstraße,7,"Pöppelmannstraße, 7, Dresden",51.0499222,13.7637909,5,Kontrollschacht,2,840,2
6,PE-FWI-2-5570,Laubestraße,11,"Laubestraße, 11, Dresden",51.0430533,13.7774901,6,Zuluftschacht,2,960,2
7,PE-FWI-2-2814,Bönischplatz,5,"Bönischplatz, 5, Dresden",51.0555879,13.7621105,7,Zuluftschacht,2,1020,2
8,PE-FWI-2-4346,Polierstraße,8,"Polierstraße, 8, Dresden",51.0449306,13.7250115,8,KontrollBauwerk,2,720,2
9,PE-FWI-4-7458,An der Herzogin Garten,3,"An der Herzogin Garten, 3, Dresden",51.0547126,13.7293395,9,Erdarmatur,4,720,3
10,PE-FWI-2-6809,Sophienstraße,5,"Sophienstraße, 5, Dresden",51.053859,13.7382891,10,Zuluftschacht,2,1140,2
11,PE-FWI-2-1593,Gewandhausstraße,8,"Gewandhausstraße, 8, Dresden",51.0486806,13.7415908,11,KontrollBauwerk,2,780,2
12,PE-FWI-2-758,Pulsnitzer Straße,6,"Pulsnitzer Straße, 6, Dresden",51.0639922,13.7579463,12,KontrollBauwerk,2,720,2
13,PE-FWI-3-3852,Manitiusstraße,5,"Manitiusstraße, 5, Dresden",51.0570243,13.7153393602,13,Entlüftung,3,900,1
14,PE-FWI-3-4778,Sternplatz,6,"Sternplatz, 6, Dresden",51.04666965,13.7262092654,14,Entlüftung,3,840,1
15,PE-FWI-2-4101,Mügelner Straße / Niedersedlitzer Straße,-,"Mügelner Straße & Niedersedlitzer Straße, Dresden",51.0124099958,13.7991100148,15,Zuluftschacht,2,960,2
16,PE-FWI-2-8505,Schilfweg,49,"Schilfweg, 49, Dresden",51.0233118,13.8014423,16,KontrollBauwerk,2,780,2
17,PE-FWI-4-7571,Winckelmannstraße,11,"Winckelmannstraße, 11, Dresden",51.0390627,13.7309337,17,Erdarmatur,4,900,3
18,PE-FWI-2-5950,Jessener Straße,28,"Jessener Straße, 28, Dresden",51.0118861,13.8156321,18,Kontrollschacht,2,900,2
19,PE-FWI-2-5625,Hohnsteiner Straße,3,"Hohnsteiner Straße, 3, Dresden",51.0673899,13.7606155,19,Zuluftschacht,2,960,2
20,PE-FWI-4-3577,Forsthausstraße,7,"Forsthausstraße, 7, Dresden",51.0526993,13.7877707,20,Erdarmatur,4,780,3
21,PE-FWI-2-6950,Amalie-Dietrich-Platz,9,"Amalie-Dietrich-Platz, 9, Dresden",51.0440564,13.6777804,21,Zuluftschacht,2,1140,2
22,PE-FWI-4-7953,Lingnerallee,5,"Lingnerallee, 5, Dresden",51.0472439,13.7442002,22,Erdarmatur,4,600,3
23,PE-FWI-4-4523,Georg-Marwitz-Straße,7,"Georg-Marwitz-Straße, 7, Dresden",51.0188586,13.8078639,23,Erdarmatur,4,780,3
24,PE-FWI-3-3868,Stübelallee,73,"Stübelallee, 73, Dresden",51.0441133,13.7598618,24,Abzweigung,3,660,1
25,PE-FWI-4-9608,Pestitzer Weg,2,"Pestitzer Weg, 2, Dresden",51.0273307,13.7489618,25,Erdarmatur,4,900,3
